序號,機關代碼,機關名稱,網站名稱,網址,標章等級,登錄日期,標章狀態
1,A07080400D,財政部關務署高雄關,Kaohsiung Customs,https://ekaohsiung.customs.gov.tw/,A,106/12/25,啟用
2,A21040000I,衛生福利部國民健康署,衛生福利部國民健康署戒菸治療管理中心,http://ttc.hpa.gov.tw/default.aspx,AA,106/12/25,啟用
3,397350000A,高雄市政府客家事務委員會,高雄市政府客家事務委員會,http://chakcg.kcg.gov.tw,A,106/12/25,啟用
4,A07080200D,財政部關務署臺北關,Taipei Customs,https://etaipei.customs.gov.tw/,A,106/12/25,啟用
5,397810000A,高雄市梓官區公所,高雄市梓官區公所中文網站,http://tzukuan.kcg.gov.tw/,AA,106/12/25,啟用
6,0,民間團體,台新匯利率服務網,https://ac.taishinbank.com.tw/AW2/index.html,A,106/12/26,啟用
7,A25000000E,文化部,文化部外文網站(日文版),http://jp.moc.gov.tw/,A,106/12/26,啟用
8,397144100I,高雄市鳥松區衛生所,高雄市鳥松區衛生所,http://nis.kcg.gov.tw,A,106/12/26,啟用
9,A21002200J,衛生福利部雲林教養院,衛生福利部雲林教養院,https://yleni.mohw.gov.tw,A,106/12/26,啟用
10,A07080000D,財政部關務署,財政部關務署關務資料開放平臺,https://data.customs.gov.tw/,A,106/12/26,啟用
11,380020100A,桃園市政府孔廟忠烈祠聯合管理所,桃園市政府孔廟忠烈祠聯合管理所,http://confucius.tycg.gov.tw/,A,106/12/26,啟用
12,382520000A,新北市三重區公所,新北市三重區公所三重好吃好玩好方便,https://www.sanchonglife.com/,AA,106/12/27,啟用
13,A07080000D,財政部關務署,關務署-高雄關(中文),https://kaohsiung.customs.gov.tw/,A,106/12/27,啟用
14,313020000G,經濟部工業局,經濟部工業局電動機車產業網,https://www.lev.org.tw/default.asp,A,106/12/27,啟用
15,376570000A,基隆市政府,基隆市政府社會處社會救助金專戶線上捐款,https://donation.klcg.gov.tw,AA,106/12/27,啟用
16,345020000G,行政院農業委員會漁業署,行政院農業委員會漁業署,https://www.fa.gov.tw,A,106/12/27,啟用
17,313020000G,經濟部工業局,經濟部工業局產業創新騰龍搶珠計畫,http://www.taiwan-innovation.org.tw,A,106/12/28,啟用
18,A07320000N,臺灣土地銀行股份有限公司,臺灣土地銀行簡易功能網路ATM,https://eatm.landbank.com.tw:8443/account/login,AA,106/12/28,啟用
19,0,民間團體,遠東商銀金融友善服務專區,https://ebank.feib.com.tw/Accessible,A,106/12/28,啟用
20,397550000A,高雄市三民區公所,高雄市三民區公所全球資訊網,http://smd.kcg.gov.tw/,AA,106/12/28,啟用
21,397023200A,高雄市鳳山區第一戶政事務所,高雄市鳳山區第一戶政事務所,http://fongshan-house.kcg.gov.tw/,AA,106/12/29,啟用
22,0,民間團體,政治大學iConcern校園議題討論區,https://nccu.iconcern.tw,A,107/1/1,啟用
23,A41000000G,國家發展委員會,國家發展委員會-公共政策網路參與平臺(南投縣版本),https://nantou.join.gov.tw/policies/index,A,107/1/2,啟用
24,397210200A,高雄市政府公務人力發展中心,高雄市政府公務人力發展中心,http://khhrdi.kcg.gov.tw,A,107/1/2,啟用
25,355000000I,行政院環境保護署,行政院環境保護署資源回收電子報網,https://r-paper.epa.gov.tw,A,107/1/2,啟用
26,380020000A,桃園市政府民政局,桃園市政府民政局,http://cab.tycg.gov.tw/,A,107/1/2,啟用
27,383111000G,高雄市政府工務局違章建築處理大隊,高雄市政府工務局違章建築處理大隊,http://pwib.kcg.gov.tw/big5/Main/index.aspx,AA,107/1/2,啟用
28,313050000G,經濟部中小企業處,經濟部中小企業處全球資訊網,https://www.moeasmea.gov.tw,AA,107/1/2,啟用
29,A41000000G,國家發展委員會,國家發展委員會-公共政策網路參與平臺(臺北市版本),https://taipei.join.gov.tw/idea/index,A,107/1/2,啟用
30,A09670000Q,國立臺南大學,國立臺南大學研究發展處,http://www2.nutn.edu.tw/randd/,AA,107/1/3,啟用
31,A17020600J,勞動部勞動力發展署技能檢定中心,勞動部勞動力發展署技能檢定中心技能競賽國際英文網站,https://wsc.wda.gov.tw,A,107/1/3,啟用
32,0,民間團體,文藻外語大學,http://www.wzu.edu.tw,AA,107/1/3,啟用
33,A01011100C,內政部警政署保安警察第一總隊,內政部警政署保安警察第一總隊,https://www.spfh.gov.tw/,A,107/1/4,啟用
34,A21040000I,衛生福利部國民健康署,國民健康署健康九九網站,http://health99.hpa.gov.tw/,AA,107/1/4,啟用
35,376562200I,澎湖縣家畜疾病防治所,澎湖縣家畜疾病防治所,https://www.phldcc.gov.tw/index.jsp,A,107/1/4,啟用
36,A21040000I,衛生福利部國民健康署,衛生福利部國民健康署遺傳疾病諮詢服務窗口,http://gene.hpa.gov.tw/,A,107/1/5,啟用
37,376491524A,雲林縣虎尾戶政事務所,雲林縣虎尾戶政事務所,https://huwei.household.yunlin.gov.tw/,AA,107/1/9,啟用
38,376491521A,雲林縣斗六戶政事務所,雲林縣斗六戶政事務所,https://douliou.household.yunlin.gov.tw/,AA,107/1/9,啟用
39,376491523A,雲林縣西螺戶政事務所,雲林縣西螺戶政事務所,https://siluo.household.yunlin.gov.tw/,AA,107/1/9,啟用
40,380560000A,桃園市蘆竹區公所,桃園市蘆竹區公所,http://www.luzhu.tycg.gov.tw/,A,107/1/9,啟用
41,379146000I,臺北市萬華區健康服務中心,萬華健康城市,http://www.wanhua-healthycity-taipei.org.tw/,A,107/1/10,啟用
42,A07080200D,財政部關務署臺北關,關務署-臺北關(中文),https://taipei.customs.gov.tw,A,107/1/10,啟用
43,0,民間團體,臺灣企銀友善專區網路ATM,https://nnb.tbb.com.tw/TBBeATMAppsWeb/accessiblePages/accessibleInit.jsp,AAA,107/1/11,啟用
44,0,民間團體,成功大學iConcern校園議題討論區,https://ncku.iconcern.tw,A,107/1/11,啟用
45,315080000H,交通部觀光局,中華民國交通部觀光局兒童網站,https://child.taiwan.net.tw/,A,107/1/12,啟用
46,A25100000E,國立臺灣史前文化博物館,國立臺灣史前文化博物館南科出土文物保存與管理系統,http://stspcoll.nmp.gov.tw/,A,107/1/15,啟用
47,376481800C,南投縣政府警察局,南投縣政府警察局,https://www.ncpb.gov.tw,AA,107/1/15,啟用
48,376480000A,南投縣政府,南投縣政府 人口統計資訊管理平台,http://household2.nantou.gov.tw/,A,107/1/16,啟用
49,0,民間團體,新光銀行匯利率網站,https://rate.skbank.com.tw/skbank_accessibility/accessibility_intro.html,A,107/1/16,啟用
50,0,民間團體,瑞興銀行-簡易網路ATM,https://ebank.taipeistarbank.com.tw/AccessibilityWebATM/,A,107/1/17,啟用
51,376490000A,雲林縣政府,雲林縣政府工程施工查核小組,http://cma.yunlin.gov.tw/,AA,107/1/17,啟用
52,305490100S,空軍航空技術學院,空軍航空技術學院,https://www.afats.khc.edu.tw,AA,107/1/18,啟用
53,313307700K,台灣糖業股份有限公司高雄區處,臺灣糖業股份有限公司高雄區處全球資訊網,http://tsc35.taisugar.com.tw/,AA,107/1/19,啟用
54,309000000E,教育部,教育部全民資安素養網,https://isafe.moe.edu.tw,A,107/1/19,啟用
55,315860500M,臺灣港務港勤股份有限公司,臺灣港務港勤股份有限公司,https://www.tipcmarine.com.tw,A,107/1/19,啟用
56,A09080000E,國立科學工藝博物館,國立科學工藝博物館電信數位博物館主題網站,http://telecom.nstm.gov.tw,AA,107/1/23,啟用
57,376800000A,嘉義縣議會,嘉義縣議會全球資訊網 ,http://www.cyscc.gov.tw,A,107/1/23,啟用
58,0,民間團體,滙豐(台灣)商業銀行公開資訊專區,http://www.hsbc.com.tw/1/2/handicap-free,A,107/1/24,啟用
59,387120000J,臺中市政府社會局,臺中市育兒資源網,https://parent-child.taichung.gov.tw/,AA,107/1/24,啟用
60,376578400A,基隆市仁愛區公所,基隆市仁愛區公所,https://www.klra.gov.tw,AA,107/1/24,啟用
61,A27020000G,科技部中部科學工業園區管理局,科技部中部科學工業園區管理局,https://www.ctsp.gov.tw/chinese/00-Home/home.aspx?v=1,AA,107/1/24,啟用
62,376440304I,新竹縣政府衛生局,新竹縣政府衛生局,https://www.hcshb.gov.tw,AA,107/1/24,啟用
63,376562600E,澎湖縣文化局,澎湖縣政府文化局-二呆藝館全球資訊網,https://erdai.phhcc.gov.tw,A,107/1/25,啟用
64,376562600E,澎湖縣文化局,澎湖縣政府文化局-澎湖縣第一賓館全球資訊網,https://fg.phhcc.gov.tw,A,107/1/25,啟用
65,376491525A,雲林縣北港戶政事務所,雲林縣北港戶政事務所,https://beigang.household.yunlin.gov.tw/,AA,107/1/25,啟用
66,376562600E,澎湖縣文化局,澎湖縣政府文化局-澎湖縣開拓館全球資訊網,https://phkt.phhcc.gov.tw,A,107/1/25,啟用
67,376491522A,雲林縣斗南戶政事務所,雲林縣斗南戶政事務所,https://dounan.household.yunlin.gov.tw/,AA,107/1/25,啟用
68,A03010000B,外交部領事事務局,外交部領事事務局全球資訊網,https://www.boca.gov.tw,A,107/1/25,啟用
69,376561506A,澎湖縣七美鄉戶政事務所,澎湖縣七美鄉戶政事務所,https://ris.penghu.gov.tw/cimei/  ,A,107/1/25,啟用
70,A21002300J,衛生福利部臺南教養院,衛生福利部臺南教養院,https://tneni.mohw.gov.tw,AA,107/1/25,啟用
71,376561800C,澎湖縣政府警察局,澎湖縣政府警察局,https://www.phpb.gov.tw,A,107/1/26,啟用
72,376560306I,澎湖縣政府環境保護局,澎湖縣政府環境保護局,https://www.phepb.gov.tw,A,107/1/26,啟用
73,0,民間團體,東聯航運-麗娜輪-高速輪,http://www.uni-wagon.com/,A,107/1/29,啟用
74,376480000A,南投縣政府,南投縣政府全球資訊網,https://www.nantou.gov.tw/,A,107/1/29,啟用
75,311000000F,法務部,法務部主管法規查詢系統,https://mojlaw.moj.gov.tw,A,107/1/29,啟用
76,380270000G,桃園市政府農業局,桃園市政府農業局,http://agriculture.tycg.gov.tw,A,107/1/30,啟用
77,376562300E,澎湖縣立體育場,澎湖縣立體育場,https://www.phs.gov.tw,A,107/1/31,啟用
78,0,民間團體,陽信銀行友善網路銀行,https://freebank.esunnybank.com.tw,A,107/2/1,啟用
79,0,民間團體,新北市都市更新整建維護輔導計畫,http://housefix.ntcaa.org.tw/,A,107/2/1,啟用
80,383110400G,高雄市政府工務局養護工程處,高雄市政府工務局養護工程處,http://pwbmo.kcg.gov.tw/,AA,107/2/2,啟用
81,0,民間團體,高屏澎東區身心障礙者職業重建服務資源中心網站,http://vrrcacc.heart.net.tw/,A,107/2/2,啟用
82,0,民間團體,中國信託金融友善服務,https://accessibility.ctbcbank.com/INEBAccessibleWeb/,A,107/2/5,啟用
83,380040000E,桃園市政府教育局,桃園市政府教育局,http://www.tyc.edu.tw/,A,107/2/5,啟用
84,376561900C,澎湖縣政府消防局,澎湖縣政府消防局,https://www.phfd.gov.tw,A,107/2/6,啟用
85,376560000A,澎湖縣政府,澎湖縣政府人民陳情單一窗口,https://opinion.penghu.gov.tw/,A,107/2/6,啟用
86,0,民間團體,彰化銀行-友善專區網路ATM,https://eatm.chb.com.tw/accATM/webatm/welcome,AA,107/2/7,啟用
87,376440304I,新竹縣政府衛生局,新竹縣政府尖石鄉衛生所,https://www.hcshb.gov.tw/jianshih/,AA,107/2/8,啟用
88,376440304I,新竹縣政府衛生局,新竹縣政府橫山鄉衛生所,https://www.hcshb.gov.tw/hengshan/,AA,107/2/8,啟用
89,380210000A,桃園市政府人事處,桃園市政府人事處,http://personnel.tycg.gov.tw/,A,107/2/8,啟用
90,376440304I,新竹縣政府衛生局,新竹縣政府芎林鄉衛生所,https://www.hcshb.gov.tw/cyonglin/,AA,107/2/8,啟用
91,376440304I,新竹縣政府衛生局,新竹縣政府五峰鄉衛生所,https://www.hcshb.gov.tw/wufong/,AA,107/2/8,啟用
92,376440304I,新竹縣政府衛生局,新竹縣政府關西鎮衛生所,https://www.hcshb.gov.tw/kuanshi/,AA,107/2/8,啟用
93,380260000D,桃園市政府地方稅務局,桃園市政府地方稅務局,http://www.tytax.gov.tw/,A,107/2/8,啟用
94,376530000A,屏東縣政府,屏東縣政府公務出國報告,http://report.pthg.gov.tw/,A,107/2/12,啟用
95,313020000G,經濟部工業局,經濟部工業局中小企業即時技術輔導計畫,https://www.itap.tw/,A,107/2/12,啟用
96,395026000A,臺南市府北戶政事務所,臺南市府北戶政事務所,http://north-agr.tainan.gov.tw/,AA,107/2/12,啟用
97,315271100H,交通部公路總局西部濱海公路北區臨時工程處,交通部公路總局西部濱海公路北區臨時工程處西濱快速公路後續建設計畫網,http://wcexpressway.thb.gov.tw/,AA,107/2/12,啟用
98,376440304I,新竹縣政府衛生局,新竹縣政府峨眉鄉衛生所,https://www.hcshb.gov.tw/emei/,AA,107/2/12,啟用
99,376440304I,新竹縣政府衛生局,新竹縣政府湖口鄉衛生所,https://www.hcshb.gov.tw/hukou/,AA,107/2/12,啟用
100,A25100000E,國立臺灣史前文化博物館,國定考古遺址出土遺物典藏管理系統,https://nhsrc.nmp.gov.tw/,A,107/2/14,啟用
101,0,民間團體,三信商銀簡易網站,https://ibank.cotabank.com.tw,A,107/2/14,啟用
102,397270100I,高雄市動物保護處,高雄市動物保護處,http://livestock.kcg.gov.tw,AA,107/2/14,啟用
103,395690000A,臺南市六甲區公所,臺南市六甲區公所,https://www.lioujia.gov.tw/,AA,107/2/14,啟用
104,379470000A,臺北市中正區公所,臺北市中正區公所入口網站,https://zzdo.gov.taipei,A,107/2/14,啟用
105,379024000A,臺北市南港區戶政事務所,臺北市南港區戶政事務所中文網站,https://nghr.gov.taipei,A,107/2/14,啟用
106,376562600E,澎湖縣文化局,澎湖縣演藝廳,https://hall.phhcc.gov.tw,A,107/2/14,啟用
107,400000000A,立法院,立法院全球資訊網,https://www.ly.gov.tw,A,107/2/14,啟用
